State,Category,Subcategory,Estimated Population,State Population
Nebraska,Ancestry,Czech,82542,1920076
Nevada,Ancestry,Czech,7614,2998039
New Hampshire,Ancestry,Czech,3934,1342795
New Jersey,Ancestry,Czech,26134,9005644
New Mexico,Ancestry,Czech,4901,2088070
New York,Ancestry,Czech,41253,19849399
North Carolina,Ancestry,Czech,17221,10273419
North Dakota,Ancestry,Czech,13358,755393
Ohio,Ancestry,Czech,63201,11658609
Oklahoma,Ancestry,Czech,15137,3930864
Oregon,Ancestry,Czech,20888,4142776
Pennsylvania,Ancestry,Czech,39295,12805537
Rhode Island,Ancestry,Czech,1088,1059639
South Carolina,Ancestry,Czech,8771,5024369
South Dakota,Ancestry,Czech,18557,869666
Tennessee,Ancestry,Czech,10633,6715984
Texas,Ancestry,Czech,192321,28304596
Utah,Ancestry,Czech,6175,3101833
Vermont,Ancestry,Czech,2018,623657
Virginia,Ancestry,Czech,21833,8470020
Washington,Ancestry,Czech,31908,7405743
West Virginia,Ancestry,Czech,3043,1815857
Wisconsin,Ancestry,Czech,89309,5795483
Wyoming,Ancestry,Czech,3337,579315
Alabama,Ancestry,Danish,5520,4874747
Alaska,Ancestry,Danish,7513,739795
Arizona,Ancestry,Danish,43172,7016270
Arkansas,Ancestry,Danish,5254,3004279
California,Ancestry,Danish,166005,39536653
Colorado,Ancestry,Danish,42161,5607154
Connecticut,Ancestry,Danish,11799,3588184
Delaware,Ancestry,Danish,1537,961939
District of Columbia,Ancestry,Danish,1536,693972
Florida,Ancestry,Danish,38768,20984400
Georgia,Ancestry,Danish,14914,10429379
Hawaii,Ancestry,Danish,2847,1427538
Idaho,Ancestry,Danish,31508,1716943
Illinois,Ancestry,Danish,44359,12802023
Indiana,Ancestry,Danish,11806,6666818
Iowa,Ancestry,Danish,55541,3145711
Kansas,Ancestry,Danish,14116,2913123
Kentucky,Ancestry,Danish,4039,4454189
Louisiana,Ancestry,Danish,2713,4684333
Maine,Ancestry,Danish,5102,1335907
Maryland,Ancestry,Danish,9109,6052177
Massachusetts,Ancestry,Danish,14724,6859819
Michigan,Ancestry,Danish,36580,9962311
Minnesota,Ancestry,Danish,74722,5576606
Mississippi,Ancestry,Danish,2660,2984100
Missouri,Ancestry,Danish,18026,6113532
Montana,Ancestry,Danish,11564,1050493
Nebraska,Ancestry,Danish,39526,1920076
Nevada,Ancestry,Danish,22839,2998039
New Hampshire,Ancestry,Danish,4255,1342795
New Jersey,Ancestry,Danish,17640,9005644
New Mexico,Ancestry,Danish,5470,2088070
New York,Ancestry,Danish,35069,19849399
North Carolina,Ancestry,Danish,20639,10273419
North Dakota,Ancestry,Danish,7708,755393
Ohio,Ancestry,Danish,17697,11658609
Oklahoma,Ancestry,Danish,7131,3930864
Oregon,Ancestry,Danish,38979,4142776
Pennsylvania,Ancestry,Danish,17692,12805537
Rhode Island,Ancestry,Danish,1114,1059639
South Carolina,Ancestry,Danish,6382,5024369
South Dakota,Ancestry,Danish,14762,869666
Tennessee,Ancestry,Danish,7723,6715984
Texas,Ancestry,Danish,46348,28304596
Utah,Ancestry,Danish,138961,3101833
