State,Category,Subcategory,Estimated Population,State Population
California,Ancestry,Italian,1406170,39536653
Colorado,Ancestry,Italian,271111,5607154
Connecticut,Ancestry,Italian,597056,3588184
Delaware,Ancestry,Italian,80668,961939
District of Columbia,Ancestry,Italian,26434,693972
Florida,Ancestry,Italian,1188927,20984400
Georgia,Ancestry,Italian,229637,10429379
Hawaii,Ancestry,Italian,30864,1427538
Idaho,Ancestry,Italian,46110,1716943
Illinois,Ancestry,Italian,732575,12802023
Indiana,Ancestry,Italian,181167,6666818
Iowa,Ancestry,Italian,63845,3145711
Kansas,Ancestry,Italian,68483,2913123
Kentucky,Ancestry,Italian,94778,4454189
Louisiana,Ancestry,Italian,223740,4684333
Maine,Ancestry,Italian,79863,1335907
Maryland,Ancestry,Italian,305482,6052177
Massachusetts,Ancestry,Italian,820425,6859819
Michigan,Ancestry,Italian,454930,9962311
Minnesota,Ancestry,Italian,125714,5576606
Mississippi,Ancestry,Italian,52215,2984100
Missouri,Ancestry,Italian,210634,6113532
Montana,Ancestry,Italian,36832,1050493
Nebraska,Ancestry,Italian,51971,1920076
Nevada,Ancestry,Italian,154952,2998039
New Hampshire,Ancestry,Italian,129048,1342795
New Jersey,Ancestry,Italian,1379887,9005644
New Mexico,Ancestry,Italian,44083,2088070
New York,Ancestry,Italian,2384306,19849399
North Carolina,Ancestry,Italian,331583,10273419
North Dakota,Ancestry,Italian,9523,755393
Ohio,Ancestry,Italian,710767,11658609
Oklahoma,Ancestry,Italian,65984,3930864
Oregon,Ancestry,Italian,155783,4142776
Pennsylvania,Ancestry,Italian,1433860,12805537
Rhode Island,Ancestry,Italian,181261,1059639
South Carolina,Ancestry,Italian,156650,5024369
South Dakota,Ancestry,Italian,11944,869666
Tennessee,Ancestry,Italian,155354,6715984
Texas,Ancestry,Italian,507920,28304596
Utah,Ancestry,Italian,90181,3101833
Vermont,Ancestry,Italian,44734,623657
Virginia,Ancestry,Italian,328249,8470020
Washington,Ancestry,Italian,263093,7405743
West Virginia,Ancestry,Italian,73762,1815857
Wisconsin,Ancestry,Italian,198581,5795483
Wyoming,Ancestry,Italian,17707,579315
Alabama,Ancestry,Lithuanian,1682,4874747
Alaska,Ancestry,Lithuanian,1135,739795
Arizona,Ancestry,Lithuanian,10929,7016270
Arkansas,Ancestry,Lithuanian,1707,3004279
California,Ancestry,Lithuanian,44237,39536653
Colorado,Ancestry,Lithuanian,10850,5607154
Connecticut,Ancestry,Lithuanian,25206,3588184
Delaware,Ancestry,Lithuanian,2416,961939
District of Columbia,Ancestry,Lithuanian,1955,693972
Florida,Ancestry,Lithuanian,37181,20984400
Georgia,Ancestry,Lithuanian,8458,10429379
Hawaii,Ancestry,Lithuanian,788,1427538
Idaho,Ancestry,Lithuanian,899,1716943
Illinois,Ancestry,Lithuanian,78856,12802023
Indiana,Ancestry,Lithuanian,9598,6666818
Iowa,Ancestry,Lithuanian,3454,3145711
Kansas,Ancestry,Lithuanian,2731,2913123
Kentucky,Ancestry,Lithuanian,2631,4454189
Louisiana,Ancestry,Lithuanian,1453,4684333
Maine,Ancestry,Lithuanian,5758,1335907
Maryland,Ancestry,Lithuanian,16061,6052177
Massachusetts,Ancestry,Lithuanian,44633,6859819
Michigan,Ancestry,Lithuanian,26567,9962311
Minnesota,Ancestry,Lithuanian,6767,5576606
Mississippi,Ancestry,Lithuanian,704,2984100
Missouri,Ancestry,Lithuanian,4608,6113532
Montana,Ancestry,Lithuanian,1427,1050493
Nebraska,Ancestry,Lithuanian,2131,1920076
Nevada,Ancestry,Lithuanian,4302,2998039
New Hampshire,Ancestry,Lithuanian,7447,1342795
New Jersey,Ancestry,Lithuanian,31407,9005644
New Mexico,Ancestry,Lithuanian,1876,2088070
New York,Ancestry,Lithuanian,42645,19849399
North Carolina,Ancestry,Lithuanian,11280,10273419
North Dakota,Ancestry,Lithuanian,271,755393
Ohio,Ancestry,Lithuanian,22703,11658609
Oklahoma,Ancestry,Lithuanian,2769,3930864
Oregon,Ancestry,Lithuanian,6508,4142776
Pennsylvania,Ancestry,Lithuanian,70623,12805537
Rhode Island,Ancestry,Lithuanian,3793,1059639
South Carolina,Ancestry,Lithuanian,5211,5024369
South Dakota,Ancestry,Lithuanian,202,869666
Tennessee,Ancestry,Lithuanian,2969,6715984
Texas,Ancestry,Lithuanian,16245,28304596
Utah,Ancestry,Lithuanian,1904,3101833
Vermont,Ancestry,Lithuanian,2310,623657
Virginia,Ancestry,Lithuanian,14348,8470020
Washington,Ancestry,Lithuanian,12221,7405743
West Virginia,Ancestry,Lithuanian,1452,1815857
Wisconsin,Ancestry,Lithuanian,13067,5795483
Wyoming,Ancestry,Lithuanian,274,579315
Alabama,Ancestry,Norwegian,14756,4874747
Alaska,Ancestry,Norwegian,24308,739795
Arizona,Ancestry,Norwegian,113000,7016270
Arkansas,Ancestry,Norwegian,16223,3004279
California,Ancestry,Norwegian,346064,39536653
Colorado,Ancestry,Norwegian,122082,5607154
Connecticut,Ancestry,Norwegian,20266,3588184
Delaware,Ancestry,Norwegian,3483,961939
District of Columbia,Ancestry,Norwegian,4998,693972
Florida,Ancestry,Norwegian,125036,20984400
Georgia,Ancestry,Norwegian,36589,10429379
Hawaii,Ancestry,Norwegian,9689,1427538
Idaho,Ancestry,Norwegian,45376,1716943
Illinois,Ancestry,Norwegian,153741,12802023
Indiana,Ancestry,Norwegian,34338,6666818
Iowa,Ancestry,Norwegian,149537,3145711
Kansas,Ancestry,Norwegian,27740,2913123
Kentucky,Ancestry,Norwegian,11704,4454189
Louisiana,Ancestry,Norwegian,11007,4684333
Maine,Ancestry,Norwegian,9069,1335907
Maryland,Ancestry,Norwegian,23991,6052177
Massachusetts,Ancestry,Norwegian,38356,6859819
Michigan,Ancestry,Norwegian,78893,9962311
Minnesota,Ancestry,Norwegian,786298,5576606
Mississippi,Ancestry,Norwegian,9506,2984100
Missouri,Ancestry,Norwegian,42065,6113532
Montana,Ancestry,Norwegian,87395,1050493
Nebraska,Ancestry,Norwegian,35261,1920076
Nevada,Ancestry,Norwegian,37574,2998039
New Hampshire,Ancestry,Norwegian,12927,1342795
New Jersey,Ancestry,Norwegian,41902,9005644
New Mexico,Ancestry,Norwegian,12603,2088070
New York,Ancestry,Norwegian,80302,19849399
North Carolina,Ancestry,Norwegian,48198,10273419
North Dakota,Ancestry,Norwegian,190969,755393
Ohio,Ancestry,Norwegian,44686,11658609
Oklahoma,Ancestry,Norwegian,24620,3930864
Oregon,Ancestry,Norwegian,140055,4142776
Pennsylvania,Ancestry,Norwegian,41346,12805537
Rhode Island,Ancestry,Norwegian,2663,1059639
South Carolina,Ancestry,Norwegian,18510,5024369
South Dakota,Ancestry,Norwegian,116569,869666
Tennessee,Ancestry,Norwegian,27777,6715984
Texas,Ancestry,Norwegian,138181,28304596
Utah,Ancestry,Norwegian,68312,3101833
Vermont,Ancestry,Norwegian,6502,623657
Virginia,Ancestry,Norwegian,50381,8470020
Washington,Ancestry,Norwegian,362894,7405743
West Virginia,Ancestry,Norwegian,5356,1815857
Wisconsin,Ancestry,Norwegian,424328,5795483
Wyoming,Ancestry,Norwegian,18555,579315
Alabama,Ancestry,Polish,29948,4874747
Alaska,Ancestry,Polish,14036,739795
Arizona,Ancestry,Polish,155513,7016270
Arkansas,Ancestry,Polish,22952,3004279
California,Ancestry,Polish,461983,39536653
Colorado,Ancestry,Polish,138811,5607154
Connecticut,Ancestry,Polish,260387,3588184
Delaware,Ancestry,Polish,39788,961939
District of Columbia,Ancestry,Polish,18128,693972
Florida,Ancestry,Polish,482519,20984400
Georgia,Ancestry,Polish,109963,10429379
Hawaii,Ancestry,Polish,12473,1427538
Idaho,Ancestry,Polish,21016,1716943
Illinois,Ancestry,Polish,855008,12802023
Indiana,Ancestry,Polish,200970,6666818
Iowa,Ancestry,Polish,43140,3145711
Kansas,Ancestry,Polish,41441,2913123
Kentucky,Ancestry,Polish,41367,4454189
Louisiana,Ancestry,Polish,20526,4684333
Maine,Ancestry,Polish,31035,1335907
Maryland,Ancestry,Polish,170257,6052177
Massachusetts,Ancestry,Polish,301142,6859819
Michigan,Ancestry,Polish,808648,9962311
Minnesota,Ancestry,Polish,247945,5576606
Mississippi,Ancestry,Polish,9818,2984100
Missouri,Ancestry,Polish,93452,6113532
Montana,Ancestry,Polish,21037,1050493
Nebraska,Ancestry,Polish,66024,1920076
Nevada,Ancestry,Polish,58215,2998039
New Hampshire,Ancestry,Polish,55811,1342795
New Jersey,Ancestry,Polish,483100,9005644
New Mexico,Ancestry,Polish,17858,2088070
New York,Ancestry,Polish,859932,19849399
North Carolina,Ancestry,Polish,148768,10273419
North Dakota,Ancestry,Polish,16208,755393
Ohio,Ancestry,Polish,424218,11658609
Oklahoma,Ancestry,Polish,28735,3930864
Oregon,Ancestry,Polish,71118,4142776
Pennsylvania,Ancestry,Polish,778150,12805537
Rhode Island,Ancestry,Polish,36707,1059639
South Carolina,Ancestry,Polish,69651,5024369
South Dakota,Ancestry,Polish,14529,869666
Tennessee,Ancestry,Polish,75790,6715984
Texas,Ancestry,Polish,285567,28304596
Utah,Ancestry,Polish,26882,3101833
Vermont,Ancestry,Polish,22606,623657
Virginia,Ancestry,Polish,147029,8470020
Washington,Ancestry,Polish,137750,7405743
West Virginia,Ancestry,Polish,29910,1815857
Wisconsin,Ancestry,Polish,494185,5795483
Wyoming,Ancestry,Polish,10039,579315
Alabama,Ancestry,Portuguese,3127,4874747
Alaska,Ancestry,Portuguese,1487,739795
Arizona,Ancestry,Portuguese,15450,7016270
Arkansas,Ancestry,Portuguese,1946,3004279
California,Ancestry,Portuguese,345186,39536653
Colorado,Ancestry,Portuguese,11468,5607154
Connecticut,Ancestry,Portuguese,47576,3588184
Delaware,Ancestry,Portuguese,1081,961939
District of Columbia,Ancestry,Portuguese,2259,693972
Florida,Ancestry,Portuguese,88595,20984400
Georgia,Ancestry,Portuguese,10208,10429379
Hawaii,Ancestry,Portuguese,53330,1427538
Idaho,Ancestry,Portuguese,6471,1716943
Illinois,Ancestry,Portuguese,8111,12802023
Indiana,Ancestry,Portuguese,6083,6666818
Iowa,Ancestry,Portuguese,2052,3145711
Kansas,Ancestry,Portuguese,1448,2913123
Kentucky,Ancestry,Portuguese,3434,4454189
Louisiana,Ancestry,Portuguese,3547,4684333
Maine,Ancestry,Portuguese,8476,1335907
Maryland,Ancestry,Portuguese,13237,6052177
Massachusetts,Ancestry,Portuguese,276670,6859819
Michigan,Ancestry,Portuguese,7297,9962311
Minnesota,Ancestry,Portuguese,3908,5576606
Mississippi,Ancestry,Portuguese,1240,2984100
Missouri,Ancestry,Portuguese,5298,6113532
Montana,Ancestry,Portuguese,2360,1050493
Nebraska,Ancestry,Portuguese,1457,1920076
Nevada,Ancestry,Portuguese,16665,2998039
New Hampshire,Ancestry,Portuguese,20350,1342795
New Jersey,Ancestry,Portuguese,80684,9005644
New Mexico,Ancestry,Portuguese,4122,2088070
New York,Ancestry,Portuguese,49995,19849399
North Carolina,Ancestry,Portuguese,18102,10273419
North Dakota,Ancestry,Portuguese,1690,755393
Ohio,Ancestry,Portuguese,10722,11658609
Oklahoma,Ancestry,Portuguese,4595,3930864
Oregon,Ancestry,Portuguese,18617,4142776
Pennsylvania,Ancestry,Portuguese,21863,12805537
Rhode Island,Ancestry,Portuguese,89767,1059639
South Carolina,Ancestry,Portuguese,8004,5024369
South Dakota,Ancestry,Portuguese,841,869666
Tennessee,Ancestry,Portuguese,5760,6715984
Texas,Ancestry,Portuguese,34560,28304596
Utah,Ancestry,Portuguese,5805,3101833
Vermont,Ancestry,Portuguese,3085,623657
Virginia,Ancestry,Portuguese,16415,8470020
Washington,Ancestry,Portuguese,23251,7405743
West Virginia,Ancestry,Portuguese,796,1815857
Wisconsin,Ancestry,Portuguese,2383,5795483
Wyoming,Ancestry,Portuguese,827,579315
Alabama,Ancestry,Russian,5475,4874747
Alaska,Ancestry,Russian,9232,739795
Arizona,Ancestry,Russian,50443,7016270
Arkansas,Ancestry,Russian,4866,3004279
California,Ancestry,Russian,387129,39536653
Colorado,Ancestry,Russian,55768,5607154
Connecticut,Ancestry,Russian,56155,3588184
Delaware,Ancestry,Russian,8613,961939
District of Columbia,Ancestry,Russian,11219,693972
Florida,Ancestry,Russian,196798,20984400
Georgia,Ancestry,Russian,43877,10429379
Hawaii,Ancestry,Russian,5856,1427538
Idaho,Ancestry,Russian,7667,1716943
Illinois,Ancestry,Russian,109493,12802023
Indiana,Ancestry,Russian,19668,6666818
Iowa,Ancestry,Russian,8328,3145711
Kansas,Ancestry,Russian,18504,2913123
Kentucky,Ancestry,Russian,9531,4454189
Louisiana,Ancestry,Russian,9642,4684333
Maine,Ancestry,Russian,7885,1335907
Maryland,Ancestry,Russian,65732,6052177
Massachusetts,Ancestry,Russian,93583,6859819
Michigan,Ancestry,Russian,73363,9962311
Minnesota,Ancestry,Russian,34851,5576606
Mississippi,Ancestry,Russian,3110,2984100
Missouri,Ancestry,Russian,28687,6113532
Montana,Ancestry,Russian,8223,1050493
Nebraska,Ancestry,Russian,10900,1920076
Nevada,Ancestry,Russian,24132,2998039
New Hampshire,Ancestry,Russian,12262,1342795
New Jersey,Ancestry,Russian,163559,9005644
New Mexico,Ancestry,Russian,5276,2088070
New York,Ancestry,Russian,379572,19849399
North Carolina,Ancestry,Russian,42213,10273419
North Dakota,Ancestry,Russian,19864,755393
Ohio,Ancestry,Russian,62078,11658609
Oklahoma,Ancestry,Russian,8740,3930864
Oregon,Ancestry,Russian,49258,4142776
Pennsylvania,Ancestry,Russian,160789,12805537
Rhode Island,Ancestry,Russian,8248,1059639
South Carolina,Ancestry,Russian,16586,5024369
South Dakota,Ancestry,Russian,10851,869666
Tennessee,Ancestry,Russian,18160,6715984
Texas,Ancestry,Russian,80463,28304596
Utah,Ancestry,Russian,10897,3101833
Vermont,Ancestry,Russian,6883,623657
Virginia,Ancestry,Russian,50257,8470020
Washington,Ancestry,Russian,80936,7405743
West Virginia,Ancestry,Russian,5994,1815857
Wisconsin,Ancestry,Russian,41372,5795483
Wyoming,Ancestry,Russian,5424,579315
Alabama,Ancestry,Scotch-Irish,71276,4874747
Alaska,Ancestry,Scotch-Irish,10665,739795
Arizona,Ancestry,Scotch-Irish,53934,7016270
Arkansas,Ancestry,Scotch-Irish,34386,3004279
California,Ancestry,Scotch-Irish,210470,39536653
Colorado,Ancestry,Scotch-Irish,68469,5607154
Connecticut,Ancestry,Scotch-Irish,18513,3588184
Delaware,Ancestry,Scotch-Irish,6372,961939
District of Columbia,Ancestry,Scotch-Irish,4329,693972
Florida,Ancestry,Scotch-Irish,163378,20984400
Georgia,Ancestry,Scotch-Irish,117586,10429379
Hawaii,Ancestry,Scotch-Irish,5389,1427538
Idaho,Ancestry,Scotch-Irish,16468,1716943
Illinois,Ancestry,Scotch-Irish,71801,12802023
Indiana,Ancestry,Scotch-Irish,54098,6666818
Iowa,Ancestry,Scotch-Irish,22061,3145711
Kansas,Ancestry,Scotch-Irish,33158,2913123
Kentucky,Ancestry,Scotch-Irish,58953,4454189
Louisiana,Ancestry,Scotch-Irish,37090,4684333
Maine,Ancestry,Scotch-Irish,21848,1335907
Maryland,Ancestry,Scotch-Irish,41930,6052177
Massachusetts,Ancestry,Scotch-Irish,41476,6859819
Michigan,Ancestry,Scotch-Irish,70665,9962311
Minnesota,Ancestry,Scotch-Irish,27401,5576606
Mississippi,Ancestry,Scotch-Irish,38197,2984100
Missouri,Ancestry,Scotch-Irish,71507,6113532
Montana,Ancestry,Scotch-Irish,15723,1050493
Nebraska,Ancestry,Scotch-Irish,14156,1920076
Nevada,Ancestry,Scotch-Irish,20215,2998039
New Hampshire,Ancestry,Scotch-Irish,14064,1342795
New Jersey,Ancestry,Scotch-Irish,31716,9005644
New Mexico,Ancestry,Scotch-Irish,14605,2088070
New York,Ancestry,Scotch-Irish,67707,19849399
North Carolina,Ancestry,Scotch-Irish,247427,10273419
North Dakota,Ancestry,Scotch-Irish,3968,755393
Ohio,Ancestry,Scotch-Irish,111371,11658609
Oklahoma,Ancestry,Scotch-Irish,37519,3930864
Oregon,Ancestry,Scotch-Irish,48537,4142776
Pennsylvania,Ancestry,Scotch-Irish,147981,12805537
Rhode Island,Ancestry,Scotch-Irish,6346,1059639
South Carolina,Ancestry,Scotch-Irish,121722,5024369
South Dakota,Ancestry,Scotch-Irish,6599,869666
Tennessee,Ancestry,Scotch-Irish,142474,6715984
Texas,Ancestry,Scotch-Irish,263838,28304596
Utah,Ancestry,Scotch-Irish,21035,3101833
Vermont,Ancestry,Scotch-Irish,8242,623657
Virginia,Ancestry,Scotch-Irish,129876,8470020
Washington,Ancestry,Scotch-Irish,94821,7405743
West Virginia,Ancestry,Scotch-Irish,32066,1815857
Wisconsin,Ancestry,Scotch-Irish,26151,5795483
Wyoming,Ancestry,Scotch-Irish,8143,579315
Alabama,Ancestry,Scottish,81349,4874747
Alaska,Ancestry,Scottish,15956,739795
Arizona,Ancestry,Scottish,114724,7016270
Arkansas,Ancestry,Scottish,51342,3004279
California,Ancestry,Scottish,480994,39536653
Colorado,Ancestry,Scottish,141910,5607154
Connecticut,Ancestry,Scottish,57880,3588184
Delaware,Ancestry,Scottish,14390,961939
District of Columbia,Ancestry,Scottish,8780,693972
Florida,Ancestry,Scottish,308044,20984400
Georgia,Ancestry,Scottish,180276,10429379
Hawaii,Ancestry,Scottish,18385,1427538
Idaho,Ancestry,Scottish,56520,1716943
Illinois,Ancestry,Scottish,142142,12802023
Indiana,Ancestry,Scottish,110528,6666818
Iowa,Ancestry,Scottish,45489,3145711
Kansas,Ancestry,Scottish,58034,2913123
Kentucky,Ancestry,Scottish,81048,4454189
Louisiana,Ancestry,Scottish,48799,4684333
Maine,Ancestry,Scottish,59458,1335907
Maryland,Ancestry,Scottish,93788,6052177
Massachusetts,Ancestry,Scottish,145044,6859819
Michigan,Ancestry,Scottish,217231,9962311
Minnesota,Ancestry,Scottish,67619,5576606
Mississippi,Ancestry,Scottish,45007,2984100
Missouri,Ancestry,Scottish,103322,6113532
Montana,Ancestry,Scottish,29024,1050493
Nebraska,Ancestry,Scottish,27775,1920076
Nevada,Ancestry,Scottish,45880,2998039
New Hampshire,Ancestry,Scottish,54740,1342795
New Jersey,Ancestry,Scottish,89940,9005644
New Mexico,Ancestry,Scottish,30149,2088070
New York,Ancestry,Scottish,203436,19849399
North Carolina,Ancestry,Scottish,236098,10273419
North Dakota,Ancestry,Scottish,8809,755393
Ohio,Ancestry,Scottish,206673,11658609
Oklahoma,Ancestry,Scottish,69909,3930864
Oregon,Ancestry,Scottish,116390,4142776
Pennsylvania,Ancestry,Scottish,197306,12805537
Rhode Island,Ancestry,Scottish,18219,1059639
South Carolina,Ancestry,Scottish,112274,5024369
South Dakota,Ancestry,Scottish,10794,869666
Tennessee,Ancestry,Scottish,137843,6715984
Texas,Ancestry,Scottish,386360,28304596
Utah,Ancestry,Scottish,138859,3101833
Vermont,Ancestry,Scottish,27716,623657
Virginia,Ancestry,Scottish,177376,8470020
Washington,Ancestry,Scottish,203465,7405743
West Virginia,Ancestry,Scottish,43813,1815857
Wisconsin,Ancestry,Scottish,58576,5795483
Wyoming,Ancestry,Scottish,19888,579315
Alabama,Ancestry,Slovak,1459,4874747
Alaska,Ancestry,Slovak,490,739795
Arizona,Ancestry,Slovak,6786,7016270
Arkansas,Ancestry,Slovak,1587,3004279
California,Ancestry,Slovak,27397,39536653
Colorado,Ancestry,Slovak,8475,5607154
Connecticut,Ancestry,Slovak,19044,3588184
Delaware,Ancestry,Slovak,1783,961939
District of Columbia,Ancestry,Slovak,1297,693972
Florida,Ancestry,Slovak,33322,20984400
Georgia,Ancestry,Slovak,7613,10429379
Hawaii,Ancestry,Slovak,944,1427538
Idaho,Ancestry,Slovak,513,1716943
Illinois,Ancestry,Slovak,34267,12802023
Indiana,Ancestry,Slovak,18330,6666818
Iowa,Ancestry,Slovak,1507,3145711
Kansas,Ancestry,Slovak,1571,2913123
Kentucky,Ancestry,Slovak,3061,4454189
Louisiana,Ancestry,Slovak,731,4684333
Maine,Ancestry,Slovak,1848,1335907
Maryland,Ancestry,Slovak,11360,6052177
Massachusetts,Ancestry,Slovak,5280,6859819
Michigan,Ancestry,Slovak,24871,9962311
Minnesota,Ancestry,Slovak,7133,5576606
Mississippi,Ancestry,Slovak,229,2984100
Missouri,Ancestry,Slovak,3821,6113532
Montana,Ancestry,Slovak,1166,1050493
Nebraska,Ancestry,Slovak,371,1920076
Nevada,Ancestry,Slovak,2912,2998039
New Hampshire,Ancestry,Slovak,1238,1342795
New Jersey,Ancestry,Slovak,34412,9005644
New Mexico,Ancestry,Slovak,1361,2088070
New York,Ancestry,Slovak,27355,19849399
North Carolina,Ancestry,Slovak,10129,10273419
North Dakota,Ancestry,Slovak,267,755393
Ohio,Ancestry,Slovak,114544,11658609
Oklahoma,Ancestry,Slovak,1078,3930864
Oregon,Ancestry,Slovak,3074,4142776
Pennsylvania,Ancestry,Slovak,190139,12805537
Rhode Island,Ancestry,Slovak,873,1059639
South Carolina,Ancestry,Slovak,5254,5024369
South Dakota,Ancestry,Slovak,457,869666
Tennessee,Ancestry,Slovak,3954,6715984
Texas,Ancestry,Slovak,11463,28304596
Utah,Ancestry,Slovak,1402,3101833
Vermont,Ancestry,Slovak,994,623657
Virginia,Ancestry,Slovak,12654,8470020
Washington,Ancestry,Slovak,6559,7405743
West Virginia,Ancestry,Slovak,3011,1815857
Wisconsin,Ancestry,Slovak,10938,5795483
Wyoming,Ancestry,Slovak,357,579315
Alabama,Ancestry,Subsaharan African,63562,4874747
Alaska,Ancestry,Subsaharan African,6795,739795
Arizona,Ancestry,Subsaharan African,48751,7016270
Arkansas,Ancestry,Subsaharan African,14932,3004279
California,Ancestry,Subsaharan African,292932,39536653
Colorado,Ancestry,Subsaharan African,51500,5607154
Connecticut,Ancestry,Subsaharan African,31175,3588184
Delaware,Ancestry,Subsaharan African,16697,961939
District of Columbia,Ancestry,Subsaharan African,25283,693972
Florida,Ancestry,Subsaharan African,166493,20984400
Georgia,Ancestry,Subsaharan African,192625,10429379
Hawaii,Ancestry,Subsaharan African,3428,1427538
Idaho,Ancestry,Subsaharan African,4388,1716943
Illinois,Ancestry,Subsaharan African,111895,12802023
Indiana,Ancestry,Subsaharan African,65826,6666818
Iowa,Ancestry,Subsaharan African,26474,3145711
Kansas,Ancestry,Subsaharan African,20961,2913123
Kentucky,Ancestry,Subsaharan African,40339,4454189
Louisiana,Ancestry,Subsaharan African,90004,4684333
Maine,Ancestry,Subsaharan African,8653,1335907
Maryland,Ancestry,Subsaharan African,268761,6052177
Massachusetts,Ancestry,Subsaharan African,171660,6859819
Michigan,Ancestry,Subsaharan African,82238,9962311
Minnesota,Ancestry,Subsaharan African,179371,5576606
Mississippi,Ancestry,Subsaharan African,17166,2984100
Missouri,Ancestry,Subsaharan African,42804,6113532
Montana,Ancestry,Subsaharan African,1445,1050493
Nebraska,Ancestry,Subsaharan African,17753,1920076
Nevada,Ancestry,Subsaharan African,38777,2998039
New Hampshire,Ancestry,Subsaharan African,7156,1342795
New Jersey,Ancestry,Subsaharan African,116066,9005644
New Mexico,Ancestry,Subsaharan African,8913,2088070
New York,Ancestry,Subsaharan African,299782,19849399
North Carolina,Ancestry,Subsaharan African,146555,10273419
North Dakota,Ancestry,Subsaharan African,8631,755393
Ohio,Ancestry,Subsaharan African,132499,11658609
Oklahoma,Ancestry,Subsaharan African,20799,3930864
Oregon,Ancestry,Subsaharan African,28801,4142776
Pennsylvania,Ancestry,Subsaharan African,119964,12805537
Rhode Island,Ancestry,Subsaharan African,31487,1059639
South Carolina,Ancestry,Subsaharan African,69029,5024369
South Dakota,Ancestry,Subsaharan African,4556,869666
Tennessee,Ancestry,Subsaharan African,73334,6715984
Texas,Ancestry,Subsaharan African,374399,28304596
Utah,Ancestry,Subsaharan African,14117,3101833
Vermont,Ancestry,Subsaharan African,3182,623657
Virginia,Ancestry,Subsaharan African,209084,8470020
Washington,Ancestry,Subsaharan African,88655,7405743
West Virginia,Ancestry,Subsaharan African,12737,1815857
Wisconsin,Ancestry,Subsaharan African,20383,5795483
Wyoming,Ancestry,Subsaharan African,1048,579315
Alabama,Ancestry,Swedish,15619,4874747
Alaska,Ancestry,Swedish,15637,739795
Arizona,Ancestry,Swedish,94109,7016270
Arkansas,Ancestry,Swedish,15068,3004279
California,Ancestry,Swedish,372260,39536653
Colorado,Ancestry,Swedish,122654,5607154
Connecticut,Ancestry,Swedish,52560,3588184
Delaware,Ancestry,Swedish,6584,961939
District of Columbia,Ancestry,Swedish,4053,693972
Florida,Ancestry,Swedish,149157,20984400
Georgia,Ancestry,Swedish,39838,10429379
Hawaii,Ancestry,Swedish,11902,1427538
Idaho,Ancestry,Swedish,45520,1716943
Illinois,Ancestry,Swedish,245479,12802023
Indiana,Ancestry,Swedish,51567,6666818
Iowa,Ancestry,Swedish,76599,3145711
Kansas,Ancestry,Swedish,54939,2913123
Kentucky,Ancestry,Swedish,16095,4454189
Louisiana,Ancestry,Swedish,14144,4684333
Maine,Ancestry,Swedish,24362,1335907
Maryland,Ancestry,Swedish,33488,6052177
Massachusetts,Ancestry,Swedish,106229,6859819
Michigan,Ancestry,Swedish,143194,9962311
Minnesota,Ancestry,Swedish,423231,5576606
Mississippi,Ancestry,Swedish,8531,2984100
Missouri,Ancestry,Swedish,57733,6113532
Montana,Ancestry,Swedish,28479,1050493
Nebraska,Ancestry,Swedish,74191,1920076
Nevada,Ancestry,Swedish,33571,2998039
New Hampshire,Ancestry,Swedish,24701,1342795
New Jersey,Ancestry,Swedish,54217,9005644
New Mexico,Ancestry,Swedish,12239,2088070
New York,Ancestry,Swedish,110990,19849399
North Carolina,Ancestry,Swedish,57869,10273419
North Dakota,Ancestry,Swedish,28032,755393
Ohio,Ancestry,Swedish,71317,11658609
Oklahoma,Ancestry,Swedish,25807,3930864
Oregon,Ancestry,Swedish,98909,4142776
Pennsylvania,Ancestry,Swedish,95275,12805537
Rhode Island,Ancestry,Swedish,16077,1059639
South Carolina,Ancestry,Swedish,21439,5024369
South Dakota,Ancestry,Swedish,28686,869666
Tennessee,Ancestry,Swedish,25719,6715984
Texas,Ancestry,Swedish,142548,28304596
Utah,Ancestry,Swedish,106760,3101833
Vermont,Ancestry,Swedish,9641,623657
Virginia,Ancestry,Swedish,52731,8470020
Washington,Ancestry,Swedish,203660,7405743
West Virginia,Ancestry,Swedish,4697,1815857
Wisconsin,Ancestry,Swedish,142396,5795483
Wyoming,Ancestry,Swedish,12517,579315
Alabama,Ancestry,Swiss,5165,4874747
Alaska,Ancestry,Swiss,2579,739795
Arizona,Ancestry,Swiss,16969,7016270
Arkansas,Ancestry,Swiss,6015,3004279
California,Ancestry,Swiss,102018,39536653
Colorado,Ancestry,Swiss,23703,5607154
Connecticut,Ancestry,Swiss,9747,3588184
Delaware,Ancestry,Swiss,2127,961939
District of Columbia,Ancestry,Swiss,1678,693972
Florida,Ancestry,Swiss,34609,20984400
Georgia,Ancestry,Swiss,11223,10429379
Hawaii,Ancestry,Swiss,2377,1427538
Idaho,Ancestry,Swiss,15352,1716943
Illinois,Ancestry,Swiss,32777,12802023
Indiana,Ancestry,Swiss,38543,6666818
Iowa,Ancestry,Swiss,14797,3145711
Kansas,Ancestry,Swiss,15959,2913123
Kentucky,Ancestry,Swiss,9933,4454189
Louisiana,Ancestry,Swiss,3420,4684333
Maine,Ancestry,Swiss,1768,1335907
Maryland,Ancestry,Swiss,12217,6052177
Massachusetts,Ancestry,Swiss,11141,6859819
Michigan,Ancestry,Swiss,20514,9962311
Minnesota,Ancestry,Swiss,19359,5576606
Mississippi,Ancestry,Swiss,2579,2984100
Missouri,Ancestry,Swiss,26951,6113532
