"","YEAR","MONTH","DAY_OF_MONTH","Region","NumFlights","NumCancels","NumWeatherCancels","NumCarrierCancels","NumNatAirSys","NumSecurity"
"103",2017,1,26,"South",5235,2,0,2,0,0
"104",2017,1,26,"West",5000,11,0,11,0,0
"105",2017,1,27,"East",2442,1,0,1,0,0
"106",2017,1,27,"Mid",2606,8,2,6,0,0
"107",2017,1,27,"South",5249,7,0,7,0,0
"108",2017,1,27,"West",5042,33,6,27,0,0
"109",2017,1,28,"East",1786,2,0,2,0,0
"110",2017,1,28,"Mid",1814,2,0,2,0,0
"111",2017,1,28,"South",4038,2,0,2,0,0
"112",2017,1,28,"West",4067,10,4,6,0,0
"113",2017,1,29,"East",2180,16,0,16,0,0
"114",2017,1,29,"Mid",2374,36,0,36,0,0
"115",2017,1,29,"South",4815,76,0,75,1,0
"116",2017,1,29,"West",4693,23,0,23,0,0
"117",2017,1,30,"East",2438,35,3,32,0,0
"118",2017,1,30,"Mid",2608,24,2,20,2,0
"119",2017,1,30,"South",5170,43,0,43,0,0
"120",2017,1,30,"West",4971,24,4,20,0,0
"121",2017,1,31,"East",2336,43,15,12,16,0
"122",2017,1,31,"Mid",2516,18,8,3,7,0
"123",2017,1,31,"South",4923,14,6,4,4,0
"124",2017,1,31,"West",4712,82,66,13,3,0
"125",2017,2,1,"East",2366,5,0,5,0,0
"126",2017,2,1,"Mid",2541,11,2,5,4,0
"127",2017,2,1,"South",5018,12,2,7,3,0
"128",2017,2,1,"West",4850,63,40,12,11,0
"129",2017,2,2,"East",2448,3,0,3,0,0
"130",2017,2,2,"Mid",2620,5,2,3,0,0
"131",2017,2,2,"South",5243,9,2,4,3,0
"132",2017,2,2,"West",5011,99,53,7,39,0
"133",2017,2,3,"East",2458,2,0,2,0,0
"134",2017,2,3,"Mid",2621,3,0,2,1,0
"135",2017,2,3,"South",5256,8,4,3,1,0
"136",2017,2,3,"West",5047,124,75,5,44,0
"137",2017,2,4,"East",1780,5,0,5,0,0
"138",2017,2,4,"Mid",1762,3,0,3,0,0
"139",2017,2,4,"South",3963,7,3,3,1,0
"140",2017,2,4,"West",4016,14,6,8,0,0
"141",2017,2,5,"East",1953,1,0,1,0,0
"142",2017,2,5,"Mid",2018,1,1,0,0,0
"143",2017,2,5,"South",4328,2,2,0,0,0
"144",2017,2,5,"West",4215,47,21,13,13,0
"145",2017,2,6,"East",2441,9,1,8,0,0
"146",2017,2,6,"Mid",2598,7,7,0,0,0
"147",2017,2,6,"South",5204,22,12,10,0,0
"148",2017,2,6,"West",4997,244,166,23,55,0
"149",2017,2,7,"East",2348,10,1,8,1,0
"150",2017,2,7,"Mid",2510,28,23,4,1,0
"151",2017,2,7,"South",4928,6,2,3,1,0
"152",2017,2,7,"West",4745,136,89,13,34,0
"153",2017,2,8,"East",2371,41,27,6,8,0
"154",2017,2,8,"Mid",2539,47,38,4,5,0
"155",2017,2,8,"South",5022,109,97,9,3,0
"156",2017,2,8,"West",4858,132,85,19,28,0
"157",2017,2,9,"East",2457,1357,1266,47,44,0
"158",2017,2,9,"Mid",2615,190,171,15,4,0
"159",2017,2,9,"South",5252,487,465,16,6,0
"160",2017,2,9,"West",5026,268,192,21,55,0
"161",2017,2,10,"East",2464,132,118,8,6,0
"162",2017,2,10,"Mid",2614,16,15,1,0,0
"163",2017,2,10,"South",5252,23,12,8,3,0
"164",2017,2,10,"West",5060,22,9,8,5,0
"165",2017,2,11,"East",1802,2,0,2,0,0
"166",2017,2,11,"Mid",1825,1,1,0,0,0
"167",2017,2,11,"South",4049,3,1,2,0,0
"168",2017,2,11,"West",4083,30,19,11,0,0
"169",2017,2,12,"East",2197,223,157,8,58,0
"170",2017,2,12,"Mid",2387,57,35,4,18,0
"171",2017,2,12,"South",4853,110,91,9,10,0
"172",2017,2,12,"West",4732,49,38,7,4,0
"173",2017,2,13,"East",2455,379,279,18,82,0
"174",2017,2,13,"Mid",2605,49,16,3,30,0
"175",2017,2,13,"South",5188,55,29,4,22,0
"176",2017,2,13,"West",5008,29,16,10,3,0
"177",2017,2,14,"East",2292,7,2,4,1,0
"178",2017,2,14,"Mid",2428,1,0,1,0,0
"179",2017,2,14,"South",4779,15,10,3,2,0
"180",2017,2,14,"West",4541,13,1,12,0,0
"181",2017,2,15,"East",2383,13,5,4,4,0
"182",2017,2,15,"Mid",2543,5,2,2,1,0
"183",2017,2,15,"South",5027,8,3,5,0,0
"184",2017,2,15,"West",4891,44,17,27,0,0
"185",2017,2,16,"East",2463,14,2,12,0,0
"186",2017,2,16,"Mid",2663,6,0,5,1,0
"187",2017,2,16,"South",5301,14,0,14,0,0
"188",2017,2,16,"West",5117,25,4,7,14,0
"189",2017,2,17,"East",2475,14,0,12,2,0
"190",2017,2,17,"Mid",2708,10,8,1,1,0
"191",2017,2,17,"South",5337,38,25,11,2,0
"192",2017,2,17,"West",5188,471,405,3,63,0
"193",2017,2,18,"East",1830,5,0,4,1,0
"194",2017,2,18,"Mid",1892,2,0,2,0,0
"195",2017,2,18,"South",4164,7,0,4,3,0
"196",2017,2,18,"West",4170,26,14,9,3,0
"197",2017,2,19,"East",2062,0,0,0,0,0
"198",2017,2,19,"Mid",2220,1,1,0,0,0
"199",2017,2,19,"South",4658,0,0,0,0,0
"200",2017,2,19,"West",4635,75,44,4,27,0
"201",2017,2,20,"East",2461,7,1,4,2,0
"202",2017,2,20,"Mid",2691,7,3,3,1,0
"203",2017,2,20,"South",5331,23,17,4,2,0
"204",2017,2,20,"West",5136,128,82,1,45,0
"205",2017,2,21,"East",2424,5,0,5,0,0
"206",2017,2,21,"Mid",2680,8,2,6,0,0
"207",2017,2,21,"South",5285,9,0,7,2,0
"208",2017,2,21,"West",5031,20,13,2,5,0
"209",2017,2,22,"East",2422,5,0,5,0,0
"210",2017,2,22,"Mid",2685,11,4,7,0,0
"211",2017,2,22,"South",5288,10,1,9,0,0
"212",2017,2,22,"West",5052,15,4,11,0,0
"213",2017,2,23,"East",2463,4,0,4,0,0
"214",2017,2,23,"Mid",2717,13,7,5,1,0
"215",2017,2,23,"South",5341,9,1,8,0,0
"216",2017,2,23,"West",5158,39,30,7,2,0
"217",2017,2,24,"East",2471,2,2,0,0,0
"218",2017,2,24,"Mid",2716,24,18,6,0,0
"219",2017,2,24,"South",5353,3,1,2,0,0
"220",2017,2,24,"West",5194,15,10,5,0,0
"221",2017,2,25,"East",1870,28,22,5,1,0
"222",2017,2,25,"Mid",1978,14,10,3,1,0
"223",2017,2,25,"South",4318,23,15,8,0,0
"224",2017,2,25,"West",4267,24,19,5,0,0
"225",2017,2,26,"East",2247,3,1,2,0,0
"226",2017,2,26,"Mid",2484,9,4,4,1,0
"227",2017,2,26,"South",5054,8,1,5,2,0
"228",2017,2,26,"West",4915,9,6,3,0,0
"229",2017,2,27,"East",2471,4,0,4,0,0
"230",2017,2,27,"Mid",2706,10,4,6,0,0
"231",2017,2,27,"South",5345,7,1,5,1,0
"232",2017,2,27,"West",5149,39,30,8,1,0
"233",2017,2,28,"East",2415,27,12,5,10,0
"234",2017,2,28,"Mid",2665,127,68,7,52,0
"235",2017,2,28,"South",5184,29,14,8,7,0
"236",2017,2,28,"West",4971,51,38,13,0,0
"237",2017,3,1,"East",2450,81,13,5,63,0
"238",2017,3,1,"Mid",2687,66,43,5,18,0
"239",2017,3,1,"South",5276,59,22,8,29,0
"240",2017,3,1,"West",5040,35,3,24,8,0
"241",2017,3,2,"East",2503,69,24,11,34,0
"242",2017,3,2,"Mid",2712,32,12,10,10,0
"243",2017,3,2,"South",5339,27,10,8,9,0
"244",2017,3,2,"West",5168,24,3,4,17,0
"245",2017,3,3,"East",2515,5,2,2,1,0
"246",2017,3,3,"Mid",2712,5,2,2,1,0
"247",2017,3,3,"South",5350,6,0,6,0,0
"248",2017,3,3,"West",5215,15,3,7,5,0
"249",2017,3,4,"East",1888,9,0,9,0,0
"250",2017,3,4,"Mid",1975,6,1,5,0,0
"251",2017,3,4,"South",4305,8,0,8,0,0
"252",2017,3,4,"West",4280,16,9,5,2,0
"253",2017,3,5,"East",2276,1,0,1,0,0
